food_name,region,category,ingredients,preparation_steps,cooking_time_minutes
rasgulla,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1.5 cups), Water (4 cups), Cardamom pods (4), Rose water (1 tsp)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls, ensuring no cracks. 6. In a pressure cooker, make syrup with sugar, water, and cardamom pods. 7. When the syrup starts boiling, add the cheese balls. 8. Close the lid (without weight) and cook on medium heat for 8-10 minutes. 9. Turn off heat, add rose water, and let cool. 10. Refrigerate for a few hours before serving.",60
sandesh,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Pistachios (2 tbsp chopped)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 5-7 minutes until smooth. 5. Transfer to a heavy-bottomed pan, add sugar, and cook on low heat for 5-7 minutes, stirring continuously. 6. Add cardamom powder and saffron strands, mix well. 7. Remove from heat and allow to cool slightly. 8. Divide into small portions and shape as desired. 9. Garnish with chopped pistachios. 10. Refrigerate for 1-2 hours before serving.",30
shankarpali,Maharashtra,Snack,"All-purpose flour (2 cups), Semolina (1/4 cup), Sugar (1/2 cup), Ghee (1/4 cup), Milk (as needed), Cardamom powder (1/2 tsp), Salt (a pinch), Oil (for deep frying)","1. Mix flour, semolina, sugar, cardamom powder, and salt in a bowl. 2. Add ghee and mix until crumbly. 3. Add milk gradually to form a firm dough. 4. Cover and let rest for 15-30 minutes. 5. Roll the dough into a thick sheet. 6. Cut into small diamond shapes. 7. Heat oil and deep fry the diamonds on medium heat until golden brown. 8. Drain on paper towels and allow to cool completely. 9. Store in an airtight container.",45
sheer_korma,Hyderabad,Sweet,"Vermicelli (1 cup), Milk (1 liter), Sugar (3/4 cup), Ghee (3 tbsp), Dates (10-12 chopped), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Cashew nuts (2 tbsp), Raisins (2 tbsp), Cardamom powder (1/2 tsp), Saffron strands (a few), Rose water (1 tsp)","1. Break vermicelli into small pieces if not already broken. 2. Heat ghee in a pan, add vermicelli and fry until golden brown. 3. Add chopped dates, nuts, and raisins. Sauté for 1-2 minutes. 4. Add milk and bring to a boil. 5. Reduce heat and simmer until vermicelli is cooked and milk thickens slightly. 6. Add sugar and mix until dissolved. 7. Add cardamom powder and saffron strands. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Serve hot or chilled.",30
sheera,Maharashtra,Sweet,"Semolina (1 cup), Ghee (1/2 cup), Sugar (3/4 cup), Water (2.5 cups), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Raisins (2 tbsp)","1. Heat ghee in a pan, add semolina and roast on low heat until aromatic and light golden brown. 2. Add raisins and sauté until they puff up. 3. Add water carefully (it will splutter) and bring to a boil. 4. Reduce heat and cook until water is absorbed and semolina is cooked. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Cook for another 2-3 minutes until the mixture thickens and leaves the sides of the pan. 8. Garnish with sliced almonds and pistachios. 9. Serve hot.",20
shrikhand,Gujarat,Sweet,"Yogurt (1 kg), Sugar (3/4 cup), Cardamom powder (1/2 tsp), Saffron strands (a few soaked in 2 tbsp warm milk), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped)","1. Hang yogurt in a muslin cloth for 4-6 hours to drain all the whey. 2. Transfer the hung yogurt (chakka) to a bowl. 3. Add sugar and mix well until smooth. 4. Add cardamom powder and saffron milk. 5. Mix thoroughly until well combined. 6. Refrigerate for at least 2 hours. 7. Garnish with sliced almonds and pistachios before serving. 8. Serve chilled.",360
sohan_halwa,North India,Sweet,"Cornflour (1 cup), Ghee (1 cup), Sugar (1.5 cups), Water (2 cups), Milk (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped)","1. Mix cornflour with 1/2 cup water to make a smooth paste. 2. Boil remaining water and milk together. 3. Slowly add the cornflour paste to the boiling liquid, stirring continuously to avoid lumps. 4. Cook until the mixture thickens. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and saffron strands. 7. Add ghee gradually, a few tablespoons at a time, stirring after each addition. 8. Continue cooking until the mixture thickens and ghee starts separating from the sides. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Garnish with sliced almonds and pistachios. 12. Allow to cool and set. 13. Cut into squares or diamonds and serve.",45
sohan_papdi,North India,Sweet,"Gram flour (1 cup), All-purpose flour (1/2 cup), Ghee (1 cup), Sugar (1.5 cups), Water (3/4 cup), Cardamom powder (1/2 tsp), Pistachios (2 tbsp chopped), Almonds (2 tbsp sliced)","1. Heat ghee in a pan, add gram flour and all-purpose flour. 2. Roast on low heat until aromatic and light golden brown. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add cardamom powder to the syrup. 5. Add the roasted flour mixture to the syrup, stirring continuously. 6. Cook until the mixture thickens and starts leaving the sides of the pan. 7. Grease a plate or tray with ghee. 8. Pour the mixture onto the greased plate. 9. Garnish with chopped pistachios and almonds. 10. When slightly cool but still warm, use a fork to pull and stretch the mixture to create a flaky texture. 11. Allow to cool completely. 12. Break into pieces and serve.",40
sutar_feni,Gujarat,Sweet,"All-purpose flour (2 cups), Ghee (1/4 cup plus more for deep frying), Sugar (1.5 cups), Water (1 cup), Cardamom powder (1/2 tsp), Pistachios (2 tbsp chopped)","1. Mix flour with 2 tbsp ghee and enough water to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide into small balls. 4. Roll each ball into a thin sheet. 5. Apply a thin layer of ghee, fold, and roll again. 6. Repeat this process 3-4 times. 7. Feed the dough through a special feni maker or press through a large-holed colander to create thin vermicelli-like strands. 8. Deep fry these strands in hot ghee until golden and crisp. 9. Make sugar syrup by boiling sugar with 1 cup water until it reaches one-string consistency. 10. Add cardamom powder to the syrup. 11. Dip fried feni in hot syrup for 2-3 minutes. 12. Remove and allow to cool. 13. Garnish with chopped pistachios and serve.",60
unni_appam,Kerala,Sweet,"Rice flour (1 cup), Ripe banana (2 mashed), Jaggery (1 cup grated), Coconut (1/2 cup grated), Cardamom powder (1/2 tsp), Cumin powder (1/4 tsp), Salt (a pinch), Ghee (for deep frying)","1. Melt jaggery with 1/4 cup water and strain to remove impurities. 2. Mix rice flour, mashed bananas, melted jaggery, grated coconut, cardamom powder, cumin powder, and salt to form a thick batter. 3. Let the batter rest for 15-30 minutes. 4. Heat ghee in a special unni appam pan or a regular appam pan. 5. Pour a spoonful of batter into each mold. 6. Cook on medium heat until the edges turn golden brown. 7. Flip and cook the other side until golden. 8. Remove and drain on paper towels. 9. Serve warm.",30
